ID,Layer,Epic,Task,Severity,Current status,Target files,Acceptance criteria,Tests/commands,Dependencies,PR sequence,Risk if skipped
HRX-L4-010,L4,People Ops Workflows,Candidate to Employee conversion,P0,Partial/not started,packages/hrx/src/recruiting/convert-to-employee.js,explicit approval; no CRM Party contamination,npm run hrx:workflows:validate; npm test,L1-L3,PR-08/09,enterprise-ready claim invalid
HRX-L4-011,L4,People Ops Workflows,Onboarding plan,P1,Partial/not started,packages/hrx/src/onboarding.js,tasks/document/access/equipment/policy,npm run hrx:workflows:validate; npm test,L1-L3,PR-08/09,scope drift / weak runtime maturity
HRX-L4-012,L4,People Ops Workflows,Offboarding case,P0,Partial/not started,packages/hrx/src/offboarding.js,last day/access revoke/legal hold,npm run hrx:workflows:validate; npm test,L1-L3,PR-08/09,enterprise-ready claim invalid
HRX-L4-013,L4,People Ops Workflows,HR legal risk workflow,P1,Partial/not started,packages/hrx/src/legal-risk.js,privileged review/status/audit,npm run hrx:workflows:validate; npm test,L1-L3,PR-08/09,scope drift / weak runtime maturity
HRX-L4-014,L4,People Ops Workflows,Payroll export review,P0,Partial/not started,packages/hrx/src/payroll-export-service.js,preview -> approve -> export artifact,npm run hrx:workflows:validate; npm test,L1-L3,PR-08/09,enterprise-ready claim invalid
HRX-L4-015,L4,People Ops Workflows,Payroll reconciliation metadata,P1,Partial/not started,packages/hrx/src/payroll-reconciliation.js,provider result metadata only,npm run hrx:workflows:validate; npm test,L1-L3,PR-08/09,scope drift / weak runtime maturity
HRX-L4-016,L4,People Ops Workflows,Retention purge job,P0,Partial/not started,packages/hrx/src/retention-job.js,legal hold blocks purge,npm run hrx:workflows:validate; npm test,L1-L3,PR-08/09,enterprise-ready claim invalid
HRX-L4-017,L4,People Ops Workflows,Lifecycle API routes,P1,Partial/not started,apps/api/src/routes/hrx/lifecycle.js,onboarding/offboarding endpoints,npm run hrx:workflows:validate; npm test,L1-L3,PR-08/09,scope drift / weak runtime maturity
HRX-L4-018,L4,People Ops Workflows,Recruiting API routes,P1,Partial/not started,apps/api/src/routes/hrx/recruiting.js,candidate/job/application/offer endpoints,npm run hrx:workflows:validate; npm test,L1-L3,PR-08/09,scope drift / weak runtime maturity
HRX-L4-019,L4,People Ops Workflows,Workflow audit coverage,P0,Partial/not started,apps/api/test/hrx/workflow-audit.test.js,every transition writes audit,npm run hrx:workflows:validate; npm test,L1-L3,PR-08/09,enterprise-ready claim invalid
HRX-L4-020,L4,People Ops Workflows,Workflow validator,P1,Partial/not started,scripts/validate-hrx-workflows.mjs,workflow routes/tests/gates enforced,npm run hrx:workflows:validate; npm test,L1-L3,PR-08/09,scope drift / weak runtime maturity
HRX-L5-001,L5,Portal/API,People UI session context,P0,Partial,apps/web/src/people/hrxApiClient.ts,no hardcoded tenant/scopes,npm run web:e2e; npm --workspace apps/web run test:ui,L2-L4,PR-10/11,enterprise-ready claim invalid
HRX-L5-002,L5,Portal/API,Employee list production states,P1,Partial,apps/web/src/people/employees/EmployeeList.tsx,loading/empty/denied/error,npm run web:e2e; npm --workspace apps/web run test:ui,L2-L4,PR-10/11,scope drift / weak runtime maturity
HRX-L5-003,L5,Portal/API,Employee profile masked fields,P1,Partial,apps/web/src/people/employees/EmployeeProfile.tsx,sensitive fields masked by policy,npm run web:e2e; npm --workspace apps/web run test:ui,L2-L4,PR-10/11,scope drift / weak runtime maturity
HRX-L5-004,L5,Portal/API,HR Document workspace source status,P1,Partial,apps/web/src/people/documents/HRDocumentWorkspace.tsx,source verified/unavailable/body blocked,npm run web:e2e; npm --workspace apps/web run test:ui,L2-L4,PR-10/11,scope drift / weak runtime maturity
HRX-L5-005,L5,Portal/API,Leave self-service durable UX,P1,Partial,apps/web/src/people/leave/LeaveRequestPage.tsx,submit refreshes DB-backed state,npm run web:e2e; npm --workspace apps/web run test:ui,L2-L4,PR-10/11,scope drift / weak runtime maturity
HRX-L5-006,L5,Portal/API,Manager approval queue,P1,Partial,apps/web/src/people/approvals/ManagerApprovalQueue.tsx,approve/reject with audit,npm run web:e2e; npm --workspace apps/web run test:ui,L2-L4,PR-10/11,scope drift / weak runtime maturity
HRX-L5-007,L5,Portal/API,Candidate portal consent view,P1,Partial,apps/web/src/candidate/CandidatePortal.tsx,candidate-scoped status/docs/consent,npm run web:e2e; npm --workspace apps/web run test:ui,L2-L4,PR-10/11,scope drift / weak runtime maturity
HRX-L5-008,L5,Portal/API,Recruiting pipeline admin,P1,Partial,apps/web/src/people/recruiting/RecruitingPipeline.tsx,stage update/offer/interview state,npm run web:e2e; npm --workspace apps/web run test:ui,L2-L4,PR-10/11,scope drift / weak runtime maturity
HRX-L5-009,L5,Portal/API,HRX Policy Console,P0,Partial,apps/web/src/admin/hrx/HRXPolicyConsole.tsx,policy versioning + authz,npm run web:e2e; npm --workspace apps/web run test:ui,L2-L4,PR-10/11,enterprise-ready claim invalid
HRX-L5-010,L5,Portal/API,HRX Audit Viewer,P0,Partial,apps/web/src/admin/hrx/HRXAuditViewer.tsx,step-up + audit scope required,npm run web:e2e; npm --workspace apps/web run test:ui,L2-L4,PR-10/11,enterprise-ready claim invalid
HRX-L5-011,L5,Portal/API,Lifecycle board,P1,Partial,apps/web/src/people/lifecycle/LifecycleBoard.tsx,on/offboarding task board,npm run web:e2e; npm --workspace apps/web run test:ui,L2-L4,PR-10/11,scope drift / weak runtime maturity
HRX-L5-012,L5,Portal/API,Step-up challenge UI,P0,Partial,apps/web/src/people/security/HrxStepUpChallenge.tsx,sensitive panel challenge,npm run web:e2e; npm --workspace apps/web run test:ui,L2-L4,PR-10/11,enterprise-ready claim invalid
HRX-L5-013,L5,Portal/API,Portal e2e suite,P0,Partial,apps/web/e2e/hrx/*.spec.ts,critical flows pass,npm run web:e2e; npm --workspace apps/web run test:ui,L2-L4,PR-10/11,enterprise-ready claim invalid
HRX-L5-014,L5,Portal/API,UI regression validator,P1,Partial,scripts/validate-hrx-ui-api-backed.mjs,static fallback/hardcoded allow rules fail,npm run web:e2e; npm --workspace apps/web run test:ui,L2-L4,PR-10/11,scope drift / weak runtime maturity
HRX-L6-001,L6,AI & Analytics,HR policy source ingestion,P1,Partial,packages/hrx/src/ai/source-ingestion.js,source_ref/chunk_id/hash indexed,npm run hrx:ai:validate; npm test,L2-L5,PR-12,scope drift / weak runtime maturity
HRX-L6-002,L6,AI & Analytics,Citation validator,P0,Partial,packages/hrx/src/ai/citation-validator.js,answers without allowed citations fail,npm run hrx:ai:validate; npm test,L2-L5,PR-12,enterprise-ready claim invalid
HRX-L6-003,L6,AI & Analytics,Model gateway boundary,P1,Partial,packages/hrx/src/ai/model-gateway.js,external call disabled unless configured,npm run hrx:ai:validate; npm test,L2-L5,PR-12,scope drift / weak runtime maturity
HRX-L6-004,L6,AI & Analytics,Decision guard expansion,P0,Partial,packages/hrx/src/ai/decision-guard.js,hire/fire/pay/eval/discipline final decision blocked,npm run hrx:ai:validate; npm test,L2-L5,PR-12,enterprise-ready claim invalid
HRX-L6-005,L6,AI & Analytics,AI review queue SQL,P0,Partial,packages/hrx/src/ai/review-queue-sql.js,review items durable,npm run hrx:ai:validate; npm test,L2-L5,PR-12,enterprise-ready claim invalid
HRX-L6-006,L6,AI & Analytics,Prompt/retrieval/output durable audit,P0,Partial,packages/hrx/src/ai/audit.js,AI interactions audit hashed,npm run hrx:ai:validate; npm test,L2-L5,PR-12,enterprise-ready claim invalid
HRX-L6-007,L6,AI & Analytics,Permission-aware retrieval integration,P0,Partial,packages/hrx/src/ai/rag.js,evaluateHrxPolicy for each source,npm run hrx:ai:validate; npm test,L2-L5,PR-12,enterprise-ready claim invalid
HRX-L6-008,L6,AI & Analytics,People analytics snapshot store,P1,Partial,packages/hrx/src/analytics-snapshot.js,periodic snapshot durable,npm run hrx:ai:validate; npm test,L2-L5,PR-12,scope drift / weak runtime maturity
HRX-L6-009,L6,AI & Analytics,Utilization projection hardening,P1,Partial,packages/matter/src/hrx-workload-projection.js,no row-level Matter details,npm run hrx:ai:validate; npm test,L2-L5,PR-12,scope drift / weak runtime maturity
HRX-L6-010,L6,AI & Analytics,Turnover/headcount/leave metrics,P1,Partial,packages/hrx/src/analytics.js,tenant aggregate only,npm run hrx:ai:validate; npm test,L2-L5,PR-12,scope drift / weak runtime maturity
HRX-L6-011,L6,AI & Analytics,Analytics export policy,P1,Partial,packages/hrx/src/analytics-export.js,role/scope/step-up if sensitive,npm run hrx:ai:validate; npm test,L2-L5,PR-12,scope drift / weak runtime maturity
HRX-L6-012,L6,AI & Analytics,AI assistant UI citations,P1,Partial,apps/web/src/people/ai/HRAIAssistant.tsx,citations/review state visible,npm run hrx:ai:validate; npm test,L2-L5,PR-12,scope drift / weak runtime maturity
HRX-L6-013,L6,AI & Analytics,Analytics UI privacy,P1,Partial,apps/web/src/people/analytics/HRAnalytics.tsx,no row-level sensitive details,npm run hrx:ai:validate; npm test,L2-L5,PR-12,scope drift / weak runtime maturity
HRX-L6-014,L6,AI & Analytics,AI/analytics validator,P1,Partial,scripts/validate-hrx-ai-analytics.mjs,source/citation/no-final-judgment tests enforced,npm run hrx:ai:validate; npm test,L2-L5,PR-12,scope drift / weak runtime maturity
HRX-L7-001,L7,Enterprise Hardening,SSO subject map integration,P0,Partial/not started,packages/authz/src/sso-subject-map.js,User subject -> tenant/actor only,npm run hrx:enterprise:validate; npm test,L1-L6,PR-13/14,enterprise-ready claim invalid
HRX-L7-002,L7,Enterprise Hardening,SCIM boundary,P1,Partial/not started,packages/hrx/src/scim-boundary.js,SCIM creates User not Employee unless approved flow,npm run hrx:enterprise:validate; npm test,L1-L6,PR-13/14,scope drift / weak runtime maturity
HRX-L7-003,L7,Enterprise Hardening,MFA/step-up evidence store,P0,Partial/not started,packages/authz/src/hrx-step-up-session.js,fresh MFA token tracked,npm run hrx:enterprise:validate; npm test,L1-L6,PR-13/14,enterprise-ready claim invalid
HRX-L7-004,L7,Enterprise Hardening,Tenant isolation e2e,P0,Partial/not started,apps/api/test/hrx/tenant-isolation.test.js,cross-tenant all HRX routes denied,npm run hrx:enterprise:validate; npm test,L1-L6,PR-13/14,enterprise-ready claim invalid
HRX-L7-005,L7,Enterprise Hardening,Observability metrics,P1,Partial/not started,packages/hrx/src/observability.js,latency/error/security counters,npm run hrx:enterprise:validate; npm test,L1-L6,PR-13/14,scope drift / weak runtime maturity
HRX-L7-006,L7,Enterprise Hardening,SLO definitions,P1,Partial/not started,docs/hrx-enterprise/slo-definition.md,availability/latency/audit write SLO,npm run hrx:enterprise:validate; npm test,L1-L6,PR-13/14,scope drift / weak runtime maturity
HRX-L7-007,L7,Enterprise Hardening,Compliance report,P0,Partial/not started,packages/hrx/src/compliance-report.js,access/change/retention report,npm run hrx:enterprise:validate; npm test,L1-L6,PR-13/14,enterprise-ready claim invalid
HRX-L7-008,L7,Enterprise Hardening,Retention/purge execution,P0,Partial/not started,packages/hrx/src/retention-job.js,due purge executes unless legal hold,npm run hrx:enterprise:validate; npm test,L1-L6,PR-13/14,enterprise-ready claim invalid
HRX-L7-009,L7,Enterprise Hardening,Backup/restore smoke,P0,Partial/not started,scripts/hrx-backup-restore-smoke.mjs,restore hash/count match,npm run hrx:enterprise:validate; npm test,L1-L6,PR-13/14,enterprise-ready claim invalid
HRX-L7-010,L7,Enterprise Hardening,DR runbook,P1,Partial/not started,docs/hrx-enterprise/dr-runbook.md,restore/RPO/RTO steps,npm run hrx:enterprise:validate; npm test,L1-L6,PR-13/14,scope drift / weak runtime maturity
HRX-L7-011,L7,Enterprise Hardening,Performance smoke,P1,Partial/not started,apps/api/test/hrx/performance-smoke.test.js,baseline latency threshold,npm run hrx:enterprise:validate; npm test,L1-L6,PR-13/14,scope drift / weak runtime maturity
HRX-L7-012,L7,Enterprise Hardening,Security regression,P0,Partial/not started,apps/api/test/hrx/security-regression.test.js,authz/audit/step-up negative,npm run hrx:enterprise:validate; npm test,L1-L6,PR-13/14,enterprise-ready claim invalid
HRX-L7-013,L7,Enterprise Hardening,Secret exposure test,P0,Partial/not started,apps/api/test/hrx/secret-exposure.test.js,no secret in responses/logs,npm run hrx:enterprise:validate; npm test,L1-L6,PR-13/14,enterprise-ready claim invalid
HRX-L7-014,L7,Enterprise Hardening,UAT scenario pack,P1,Partial/not started,docs/hrx-enterprise/uat-scenarios.md,employee/HR/admin/candidate scenarios,npm run hrx:enterprise:validate; npm test,L1-L6,PR-13/14,scope drift / weak runtime maturity
HRX-L7-015,L7,Enterprise Hardening,UAT execution evidence,P1,Partial/not started,docs/hrx-enterprise/uat-results.md,executed results not planning-only,npm run hrx:enterprise:validate; npm test,L1-L6,PR-13/14,scope drift / weak runtime maturity
HRX-L7-016,L7,Enterprise Hardening,Enterprise hardening validator,P0,Partial/not started,scripts/validate-hrx-enterprise-readiness.mjs,all P0 gates required,npm run hrx:enterprise:validate; npm test,L1-L6,PR-13/14,enterprise-ready claim invalid
HRX-L8-001,L8,Release & Go/No-Go,Release readiness contract,P0,Not started,contracts/hrx-release-readiness.json,all gates listed,npm run hrx:release:validate; npm run hrx:enterprise:validate,L1-L7,PR-15,enterprise-ready claim invalid
HRX-L8-002,L8,Release & Go/No-Go,Cutover runbook,P0,Not started,docs/hrx-enterprise/cutover-runbook.md,rollback/owner/decision points,npm run hrx:release:validate; npm run hrx:enterprise:validate,L1-L7,PR-15,enterprise-ready claim invalid
HRX-L8-003,L8,Release & Go/No-Go,Go/no-go checklist,P0,Not started,docs/hrx-enterprise/go-live-checklist.md,P0 gate pass + owner approval required,npm run hrx:release:validate; npm run hrx:enterprise:validate,L1-L7,PR-15,enterprise-ready claim invalid
HRX-L8-004,L8,Release & Go/No-Go,Owner decision template,P1,Not started,docs/hrx-enterprise/owner-decision-template.md,human approval separated from validator,npm run hrx:release:validate; npm run hrx:enterprise:validate,L1-L7,PR-15,scope drift / weak runtime maturity
HRX-L8-005,L8,Release & Go/No-Go,R4 claim validator,P0,Not started,scripts/validate-hrx-r4-claim.mjs,forbidden claim fails,npm run hrx:release:validate; npm run hrx:enterprise:validate,L1-L7,PR-15,enterprise-ready claim invalid
HRX-L8-006,L8,Release & Go/No-Go,Production readiness evidence pack,P1,Not started,docs/hrx-enterprise/production-readiness-evidence.md,links to test/backup/UAT/audit reports,npm run hrx:release:validate; npm run hrx:enterprise:validate,L1-L7,PR-15,scope drift / weak runtime maturity
HRX-L8-007,L8,Release & Go/No-Go,Release notes template,P1,Not started,docs/hrx-enterprise/release-notes-template.md,known limitations explicitly listed,npm run hrx:release:validate; npm run hrx:enterprise:validate,L1-L7,PR-15,scope drift / weak runtime maturity
HRX-L8-008,L8,Release & Go/No-Go,Post-release monitoring plan,P1,Not started,docs/hrx-enterprise/post-release-monitoring.md,alerts/metrics/on-call,npm run hrx:release:validate; npm run hrx:enterprise:validate,L1-L7,PR-15,scope drift / weak runtime maturity
HRX-L8-009,L8,Release & Go/No-Go,Final launch blocker audit,P0,Not started,scripts/validate-hrx-launch-blockers.mjs,open P0 fails,npm run hrx:release:validate; npm run hrx:enterprise:validate,L1-L7,PR-15,enterprise-ready claim invalid
HRX-L8-010,L8,Release & Go/No-Go,Handoff closeout,P1,Not started,docs/hrx-enterprise/dev-handoff-closeout.md,developer/QA/owner signatures,npm run hrx:release:validate; npm run hrx:enterprise:validate,L1-L7,PR-15,scope drift / weak runtime maturity
