"id","title","type","fileKey","nodeId","url","status","error","html","thumbnail","meta"
"01-cms-template","CMS Template Community","design","rfIPOYCgtKadbtuwk7tcMq","0:1","https://www.figma.com/design/rfIPOYCgtKadbtuwk7tcMq/CMS-Template--Community-?node-id=0-1&m=dev&t=vFflMbdXJTIPvTYp-1","ok",,"source-page.html","thumbnail.png","web-meta.json"
"02-atomic-design-system-uikit-saas-erp-crm","Atomic DesignSystem UIkit SaaS ERP CRM Community","design","7JORUyhT52CRdUbC18kMds","0:1","https://www.figma.com/design/7JORUyhT52CRdUbC18kMds/Atomic-DesignSystem-%7C-UIkit-%7C-SaaS-%7C-ERP-%7C-CRM--Community-?node-id=0-1&m=dev&t=XksmOIIrUUdfAi3R-1","ok",,"source-page.html","thumbnail.png","web-meta.json"
"03-prototipo-erp-joshua","Prototipo de um ERP by Joshua Community","design","iMHKvC9v4UKXI12RpuxHVo","0:1","https://www.figma.com/design/iMHKvC9v4UKXI12RpuxHVo/Prototipo-de-um-ERP---by-Joshua--Community-?node-id=0-1&m=dev&t=6gwcXBuimztujFQC-1","ok",,"source-page.html","thumbnail.png","web-meta.json"
"04-crm-erp-wms-part-1","CRM ERP WMS Part 1 Community","design","Aj2zdn4FukLcnuQwCb3XTo","4201:3847","https://www.figma.com/design/Aj2zdn4FukLcnuQwCb3XTo/CRM--ERP--WMS-%E2%80%94--Part-1--Community-?node-id=4201-3847&m=dev&t=gv4WlTz1GOTldk4A-1","ok",,"source-page.html","thumbnail.png","web-meta.json"
"05-construction-erp-software-ui","Construction ERP Software UI Community","design","hfrtxeso3ewSfXFLGXNWwb","0:1","https://www.figma.com/design/hfrtxeso3ewSfXFLGXNWwb/Construction-ERP-Software-UI--Community-?node-id=0-1&m=dev&t=dt8ghxJq3VjeEm2m-1","ok",,"source-page.html","thumbnail.png","web-meta.json"
"06-erp-b2b-design-kit","ERP B2B Design Kit Community","design","D43IDo4MtsajjLL5KBeRqs","25:13587","https://www.figma.com/design/D43IDo4MtsajjLL5KBeRqs/ERP-B2B-Design-Kit--Community-?node-id=25-13587&m=dev&t=P3v7h1Dji5HTyT5J-1","ok",,"source-page.html","thumbnail.png","web-meta.json"
"07-uiuxotor-erp-hr-module","UiUxOtor ERP System HR Module Community","design","iGdYmKQnIrb63v6HeiQ4bH","0:1","https://www.figma.com/design/iGdYmKQnIrb63v6HeiQ4bH/UiUxOtor-ERP-System--HR-Module---Community-?node-id=0-1&m=dev&t=4cRIzBnHp36CWxjz-1","ok",,"source-page.html","thumbnail.png","web-meta.json"
"08-web-administrativa-cms-2024","Web administrativa CMS 2024 Community","design","IJDG5CnEX8YuJ8WEo3tfOy","1101:2927","https://www.figma.com/design/IJDG5CnEX8YuJ8WEo3tfOy/Web-administrativa---CMS--2024--Community-?node-id=1101-2927&m=dev&t=kRZA0xACq0KD6NUj-1","ok",,"source-page.html","thumbnail.png","web-meta.json"
"09-hr-dashboard-responsive","HR Dashboard Responsive Community","design","mgmHlldce3SGM41CBwX9OD","248:425","https://www.figma.com/design/mgmHlldce3SGM41CBwX9OD/HR-Dashboard-Responsive--Community-?node-id=248-425&m=dev&t=NV9RYvHecKotOBYV-1","ok",,"source-page.html","thumbnail.png","web-meta.json"
"10-hr-management-dashboard-uikit","HRDashboard HR Management Dashboard UI Kit Community","design","Ifrsky5CBcLUIIrGtJOvfM","127:3","https://www.figma.com/design/Ifrsky5CBcLUIIrGtJOvfM/HRDashboard---HR-Management-Dashboard-UI-Kit--Community-?node-id=127-3&m=dev&t=VLu1WPY9tgdwfK05-1","ok",,"source-page.html","thumbnail.png","web-meta.json"
"11-hr-management-ats-tool","HR Management ATS Tool Community","design","zjddCPECWCkJ0gKrLDpdI4","0:1","https://www.figma.com/design/zjddCPECWCkJ0gKrLDpdI4/HR-Management-ATS-Tool--Community-?node-id=0-1&m=dev&t=9Ju6HTRGdMviFxD1-1","ok",,"source-page.html","thumbnail.png","web-meta.json"
"12-enterprise-document-management-screen","Enterprise Document Management Screen Community","design","m6bjRte1m5hNKZ18a9DR8c","0:1","https://www.figma.com/design/m6bjRte1m5hNKZ18a9DR8c/Enterprise-Document-Management-Screen--Community-?node-id=0-1&m=dev&t=uwbrUOqUqxKs7W7d-1","ok",,"source-page.html","thumbnail.png","web-meta.json"
"13-document-management","Document Management Community","design","DOxLkCTf7t82LQKUUK8T65","0:1","https://www.figma.com/design/DOxLkCTf7t82LQKUUK8T65/Document-Management--Community-?node-id=0-1&m=dev&t=APrG8zGBrgnP3F00-1","ok",,"source-page.html","thumbnail.png","web-meta.json"
"14-corporate-document-management-dashboard","Corporate Document Management Dashboard Community","make","VFYZxUjo0Wz0EOTqky3z2G","0:1","https://www.figma.com/make/VFYZxUjo0Wz0EOTqky3z2G/Corporate-Document-Management-Dashboard--Community-?t=b3Vyp9N5PjPIJwkj-20&fullscreen=1","ok",,"source-page.html","thumbnail.png","web-meta.json"
"15-enterprise-document-management-dashboard","Enterprise Document Management Dashboard Community","make","VnqUQDAhyE7x5chGYazXTS","0:1","https://www.figma.com/make/VnqUQDAhyE7x5chGYazXTS/Enterprise-Document-Management-Dashboard--Community-?t=TEfz4ryMXWzMcy4e-20&fullscreen=1","ok",,"source-page.html","thumbnail.png","web-meta.json"
"16-document-management-system-prototype","Document Management System Prototype Community","make","T2wRuMkwu1leVouNBU184d","0:1","https://www.figma.com/make/T2wRuMkwu1leVouNBU184d/Document-Management-System-Prototype--Community-?t=W7u3MC8VUyHe42wf-20&fullscreen=1","ok",,"source-page.html","thumbnail.png","web-meta.json"
"17-document-management-system-ui","Document Management System UI Community","make","LfzmOrcn3zDaP8P7oDWHOF","0:1","https://www.figma.com/make/LfzmOrcn3zDaP8P7oDWHOF/Document-Management-System-UI--Community-?t=croqD4vg4gTIqGdo-20&fullscreen=1","ok",,"source-page.html","thumbnail.png","web-meta.json"
"18-twilio-crm-template","Twilio CRM Template Community","design","qYKmLDIoIzJ5yjqKUCj0wA","0:1","https://www.figma.com/design/qYKmLDIoIzJ5yjqKUCj0wA/Twilio-CRM-Template--Community-?node-id=0-1&m=dev&t=Rt19oFa7E4W1G3jC-1","ok",,"source-page.html","thumbnail.png","web-meta.json"
"19-crm-system","CRM system Community","design","DNgXkY3LX9Wh8g9sYHXeLb","0:1","https://www.figma.com/design/DNgXkY3LX9Wh8g9sYHXeLb/CRM-system--Community-?node-id=0-1&m=dev&t=K9mLiYRP3FHFcPsl-1","ok",,"source-page.html","thumbnail.png","web-meta.json"
"20-crm-woorkroom","CRM Woorkroom Community","design","tvWaiuD0mxFR3la8ow4H5s","0:1","https://www.figma.com/design/tvWaiuD0mxFR3la8ow4H5s/CRM-Woorkroom--Community-?node-id=0-1&m=dev&t=9SMAY294KFRTUNYP-1","ok",,"source-page.html","thumbnail.png","web-meta.json"
"21-crm-customers-deals-tasks-filtering","CRM app with customers deals nested data tasks and menu filtering Community","design","4PfjixVkpbrOuAD2KWLgXN","1:23986","https://www.figma.com/design/4PfjixVkpbrOuAD2KWLgXN/CRM-app-with-customers--deals--nested-data--tasks-and-menu-filtering--Community-?node-id=1-23986&m=dev&t=sjSrGoDHsaKmcFHA-1","ok",,"source-page.html","thumbnail.png","web-meta.json"
